Categorie,Sous-categorie,Nom,Prix,Image,Lien,Rayon                    ,Categorie                ,Famille                  ,Talon                    ,Info pointure            ,Semelle                  ,Doublure                 ,Matiere exterieure       ,Matière                  ,Couleur principale       ,Référence,Libellé modèle,Membrane                 
Homme,Charentaises,Chaussons et Pantoufles -Homme -Synthétique -Noir  -Charentaise -la maison de l espadrille,27.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4882001_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/homme/chaussons-et-pantoufles/7672-noir/4882001.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Synthétique,Synthétique,Synthetique,Noir,4882001.0,7672,
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Marron  -Charentaise -la maison de l espadrille,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4660301_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/homme/chaussons-et-pantoufles/124f-charentaise-marron/4660301.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,,Chausse normal,Feutrine,Laine tissée,Synthétique,Laine,Marron,4660301.0,124F CHARENTAISE,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Bordeaux  -Charentaise -la maison de l espadrille,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4660303_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/homme/chaussons-et-pantoufles/124f-charentaise-bordeaux/4660303.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,,Chausse normal,Feutrine,Laine tissée,Synthétique,Laine,Bordeaux,4660303.0,124F CHARENTAISE,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Foururre synthétique -Beige  -Charentaise -rondinaud,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4785501_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/homme/chaussons-et-pantoufles/bernard-homme-beige/4785501.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Foururre synthétique,Toile,Laine,Beige,4785501.0,BERNARD HOMME,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Bleu Marine  -Charentaise -rondinaud,45.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4786001_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/homme/chaussons-et-pantoufles/calmont-homme-bleu-marine/4786001.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Laine,Bleu Marine,4786001.0,CALMONT HOMME,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Rouge  -Charentaise -chausse mouton,49.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4794401_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/homme/chaussons-et-pantoufles/douglas-exterieur-rouge/4794401.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Crêpe,Laine tissée,Synthétique,Laine,Rouge,4794401.0,DOUGLAS EXTERIEUR,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Noir  -Charentaise -chausse mouton,49.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4794101_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/homme/chaussons-et-pantoufles/dreamtime-noir/4794101.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,Velours,Noir,4794101.0,DREAMTIME,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Rouge  -Charentaise -chausse mouton,49.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4794001_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/homme/chaussons-et-pantoufles/edimbourg-rouge/4794001.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,Laine,Rouge,4794001.0,EDIMBOURG,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Noir  -Charentaise -rondinaud,43.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4785401_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/homme/chaussons-et-pantoufles/louis-exterieur-homme-noir/4785401.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,,Noir,4785401.0,LOUIS EXTERIEUR HOMME,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Anthracite  -Charentaise -semelflex,42.50 €,/CHAUSSURESONLINE_WEB/photos/Ico/4802001_1.jpg,https://www.chaussuresonline.com/fr/chaussure/semelflex/homme/chaussons-et-pantoufles/pierre-arthur-anthracite/4802001.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,Synthetique,Anthracite,4802001.0,PIERRE ARTHUR,
Homme,Charentaises,Chaussons et Pantoufles -Homme -Laine tissée -Bleu Marine  -Charentaise -chausse mouton,49.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4794201_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/homme/chaussons-et-pantoufles/scottish-bleu-marine/4794201.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,Velours,Bleu Marine,4794201.0,SCOTTISH,MADE IN FRANCE
